(X,Z,SeedCount)
-1119,2848,220
192,-3243,220
-2850,4019,220
-2756,4214,220
-5040,-4222,220
487,-7226,220
9616,-3346,220
129,-48,219
-3231,899,219
-5098,-4346,219
-5436,-3447,219
6410,-1302,219
-5176,-6641,219
-8512,-3630,219
911,-9351,219
-4668,2496,218
-6614,5851,218
-6909,-618,218
6808,-6926,218
-7035,4397,218
5104,-7510,218
2091,8958,218
1731,-4318,217
4611,-1508,217
6312,3543,217
8143,818,217
8307,2497,217
-8771,2273,217
-5598,8967,217
-9457,-439,217
-727,529,216
-2880,-1021,216
-657,-4222,216
-3796,6156,216
3503,-6441,216
-7919,2073,216
8012,636,216
9214,6602,216
3790,-733,215
4087,2739,215
3789,-4797,215
-5235,4118,215
-5818,4964,215
5789,7015,215
-8215,-7227,215
-6907,8566,215
5396,8571,215
6772,-8684,215
8745,8178,215
3564,-9157,215
-512,5086,214
-7397,7017,214
-5759,-7995,214
8929,737,214
-863,-3670,213
4087,-1510,213
4084,-6340,213
7161,5672,213
-7823,1309,213
6511,8180,213
8765,8668,213
9125,49,213
-952,-1410,212
